label,index,middle,ring
WHERE,45,74,100
WHERE,40,68,100
WHERE,37,63,100
WHERE,37,62,100
WHERE,40,62,100
WHERE,40,63,100
WHERE,42,67,100
WHERE,45,72,100
WHERE,45,75,100
WHERE,47,80,100
WHERE,47,87,100
WHERE,52,96,100
WHERE,55,100,100
WHERE,62,100,100
WHERE,65,100,100
WHERE,62,100,100
WHERE,55,100,100
WHERE,50,95,100
WHERE,45,82,100
WHERE,42,72,100
WHERE,40,64,100
WHERE,42,58,100
WHERE,40,55,100
WHERE,40,55,100
WHERE,40,56,100
WHERE,37,60,100
WHERE,42,66,100
WHERE,45,71,100
WHERE,50,79,100
WHERE,52,88,100
WHERE,57,97,100
WHERE,60,100,100
WHERE,62,100,100
WHERE,62,100,100
WHERE,65,100,100
WHERE,62,100,100
WHERE,60,100,100
WHERE,55,96,100
WHERE,50,82,100
WHERE,50,75,100
WHERE,50,68,100
WHERE,52,65,100
WHERE,52,63,100
WHERE,50,66,100
WHERE,52,70,100
WHERE,55,74,100
WHERE,57,77,100
WHERE,55,79,100
WHERE,57,83,100
WHERE,62,91,100
WHERE,67,100,100
WHERE,65,100,100
WHERE,65,100,100
WHERE,67,100,100
WHERE,67,100,100
WHERE,62,100,100
WHERE,52,89,100
WHERE,47,78,100
WHERE,40,69,100
WHERE,40,63,100
WHERE,37,58,100
WHERE,32,54,100
WHERE,32,53,100
WHERE,35,56,100
WHERE,37,61,100
WHERE,35,66,100
WHERE,40,70,100
WHERE,42,76,100
WHERE,47,84,100
WHERE,52,93,100
WHERE,55,100,100
WHERE,57,100,100
WHERE,62,100,100
WHERE,65,100,100
WHERE,62,100,100
WHERE,55,100,100
WHERE,47,90,100
WHERE,42,79,100
WHERE,37,70,100
WHERE,37,64,100
WHERE,37,59,100
WHERE,37,58,100
WHERE,37,61,100
WHERE,40,64,100
WHERE,37,68,100
WHERE,37,72,100
WHERE,40,74,100
WHERE,42,79,100
WHERE,47,86,100
WHERE,50,93,100
WHERE,52,98,100
WHERE,52,100,100
WHERE,55,100,100
WHERE,55,100,100
YES,100,100,100
YES,100,100,100
YES,100,100,100
YES,100,100,100
YES,100,100,100
YES,100,100,100
YES,100,100,100
YES,100,100,100
YES,100,100,100
YES,100,100,100
YES,100,100,100
YES,100,95,100
